morph,VACUUM,FREE
,TI,TI,FUNC-lam-0.000,FUNC-lam-1.000,LRC-lam-0.000,LRC-lam-1.000
methane~ethane, 1.26110, 1.50940,-0.00000,-0.00000,-24.94144,-25.04927
ethane~methane,-1.32870,-1.42860, 0.00000,-0.00000,-26.10985,-26.03691
ethane~methanol, 2.76460,-3.35040, 0.00000,-0.00000,-26.08804,-26.06933
methane~toluene, 5.01390, 0.24240,-0.00000, 2.00728,-24.79026,-24.97223
2-methylindole~methane, 6.44240,17.32940, 2.36986,-0.00000,-33.70418,-33.43457
toluene~methane,-4.77440, 0.23510, 2.00759,-0.00000,-31.46788,-31.25341
methanol~ethane,-2.76370, 3.35330,-0.00000,-0.00000,-25.37866,-25.39475
methane~neopentane, 2.05510,-0.31690,-0.00000, 2.87397,-24.17359,-24.36617
methane~methanol, 3.85780,-2.24660,-0.00000,-0.00000,-25.00299,-25.07196
7-cyclopentanylindole~2-cyclopentanylindole,-5.78280,-7.51330,-2.33528,-0.36621,-37.46179,-37.47804
2-cyclopentanylindole~7-cyclopentanylindole, 5.76300, 7.74070,-0.35938,-2.34141,-39.48895,-39.53384
neopentane2~methane,-1.08920,-1.08920, 2.87507,-0.00000,-29.35212,-29.11373
methane~2-methylindole,-6.30100,-16.95280,-0.00000, 2.36642,-24.29093,-24.56211
methanol~methane,-3.87700, 2.27140,-0.00000,-0.00000,-25.43138,-25.39367
neopentane~methane,-2.18170, 0.56050, 2.87399,-0.00000,-30.72237,-30.54130
2-methylfuran~methane, 6.33420,10.82490, 1.85210,-0.00000,-30.04192,-29.86582
methane~neopentane2,-1.08920,-1.08920,999.00000, 2.87746,-29.15157,-29.29704
methane~2-methylfuran,-6.20650,-10.83360,-0.00000, 1.84874,-24.83018,-24.99895
